#
PriLevel,SecLevel,Trigger,Sync,ToothTime,Time
Flag,Flag,Flag,Flag,ms,ms
MARK 000
0.0,0.0,0.0,1.0,4.107,2602.838
1.0,1.0,0.0,1.0,6.539,2609.377
1.0,0.0,1.0,1.0,3.268,2612.646
0.0,0.0,0.0,1.0,0.845,2613.491
1.0,0.0,0.0,1.0,6.550,2620.041
0.0,0.0,0.0,1.0,4.112,2624.154
1.0,1.0,0.0,1.0,6.510,2630.663
0.0,1.0,0.0,1.0,4.122,2634.785
0.0,0.0,1.0,1.0,3.307,2638.092
1.0,0.0,0.0,1.0,3.224,2641.316
0.0,0.0,0.0,1.0,4.097,2645.413
1.0,1.0,0.0,1.0,6.526,2651.939
1.0,0.0,1.0,1.0,3.262,2655.202
0.0,0.0,0.0,1.0,0.849,2656.051
1.0,0.0,0.0,1.0,6.522,2662.573
0.0,0.0,0.0,1.0,4.104,2666.677
1.0,1.0,0.0,1.0,6.509,2673.186
0.0,1.0,0.0,1.0,4.116,2677.302
0.0,0.0,1.0,1.0,3.309,2680.611
1.0,0.0,0.0,1.0,3.223,2683.834
0.0,0.0,0.0,1.0,4.099,2687.934
1.0,1.0,0.0,1.0,6.535,2694.469
1.0,0.0,1.0,1.0,3.274,2697.743
0.0,0.0,0.0,1.0,0.851,2698.594
1.0,0.0,0.0,1.0,6.549,2705.143
0.0,0.0,0.0,1.0,4.124,2709.267
1.0,1.0,0.0,1.0,6.524,2715.791
0.0,1.0,0.0,1.0,4.133,2719.924
0.0,0.0,1.0,1.0,3.313,2723.237
1.0,0.0,0.0,1.0,3.231,2726.469
0.0,0.0,0.0,1.0,4.101,2730.570
1.0,1.0,0.0,1.0,6.530,2737.100
1.0,0.0,1.0,1.0,3.266,2740.366
0.0,0.0,0.0,1.0,0.849,2741.215
1.0,0.0,0.0,1.0,6.541,2747.756
0.0,0.0,0.0,1.0,4.112,2751.868
1.0,1.0,0.0,1.0,6.516,2758.384
0.0,1.0,0.0,1.0,4.121,2762.505
0.0,0.0,1.0,1.0,3.304,2765.809
1.0,0.0,0.0,1.0,3.214,2769.023
0.0,0.0,0.0,1.0,4.095,2773.118
1.0,1.0,0.0,1.0,6.513,2779.631
1.0,0.0,1.0,1.0,3.260,2782.891
0.0,0.0,0.0,1.0,0.848,2783.739
1.0,0.0,0.0,1.0,6.521,2790.260
0.0,0.0,0.0,1.0,4.113,2794.373
1.0,1.0,0.0,1.0,6.512,2800.885
0.0,1.0,0.0,1.0,4.123,2805.008
0.0,0.0,1.0,1.0,3.309,2808.317
1.0,0.0,0.0,1.0,3.225,2811.542
0.0,0.0,0.0,1.0,4.110,2815.652
1.0,1.0,0.0,1.0,6.547,2822.199
1.0,0.0,1.0,1.0,3.273,2825.472
0.0,0.0,0.0,1.0,0.853,2826.325
1.0,0.0,0.0,1.0,6.564,2832.889
0.0,0.0,0.0,1.0,4.134,2837.024
1.0,1.0,0.0,1.0,6.536,2843.560
0.0,1.0,0.0,1.0,4.129,2847.688
0.0,0.0,1.0,1.0,3.312,2851.000
1.0,0.0,0.0,1.0,3.227,2854.227
0.0,0.0,0.0,1.0,4.103,2858.330
1.0,1.0,0.0,1.0,6.537,2864.866
1.0,0.0,1.0,1.0,3.262,2868.128
0.0,0.0,0.0,1.0,0.851,2868.979
1.0,0.0,0.0,1.0,6.548,2875.527
0.0,0.0,0.0,1.0,4.123,2879.650
1.0,1.0,0.0,1.0,6.521,2886.171
0.0,1.0,0.0,1.0,4.120,2890.291
0.0,0.0,1.0,1.0,3.305,2893.596
1.0,0.0,0.0,1.0,3.216,2896.812
0.0,0.0,0.0,1.0,4.084,2900.896
1.0,1.0,0.0,1.0,6.501,2907.397
1.0,0.0,1.0,1.0,3.242,2910.639
0.0,0.0,0.0,1.0,0.843,2911.481
1.0,0.0,0.0,1.0,6.486,2917.968
0.0,0.0,0.0,1.0,4.081,2922.049
1.0,1.0,0.0,1.0,6.454,2928.503
0.0,1.0,0.0,1.0,4.072,2932.574
0.0,0.0,1.0,1.0,3.269,2935.844
1.0,0.0,0.0,1.0,3.188,2939.032
0.0,0.0,0.0,1.0,4.048,2943.080
